idx	URI	label	type
41	http://tool4boxology.org/Boxology/e357f0b8-dbec-4952-a9eb-da7de219da53	e357f0b8-dbec-4952-a9eb-da7de219da53	Boxology
42	http://tool4boxology.org/Boxology/e4dbd398-643d-443e-a401-af7750067cdb	e4dbd398-643d-443e-a401-af7750067cdb	Boxology
43	http://tool4boxology.org/Boxology/ee778684-c7f4-4454-9ccb-d3732837769a	ee778684-c7f4-4454-9ccb-d3732837769a	Boxology
44	http://tool4boxology.org/Boxology/f5c75aea-c773-4dd9-ad83-cf17e6fdb32d	f5c75aea-c773-4dd9-ad83-cf17e6fdb32d	Boxology
45	http://tool4boxology.org/Boxology/f8ef8753-2498-4932-8697-7a1df8989b85	f8ef8753-2498-4932-8697-7a1df8989b85	Boxology
46	http://tool4boxology.org/Boxology/fb907e0a-fb02-4977-b3e0-aebfd7059c95	fb907e0a-fb02-4977-b3e0-aebfd7059c95	Boxology
47	http://tool4boxology.org/Boxology/fbc28a73-fc3a-46b3-9ae9-c71d55218937	fbc28a73-fc3a-46b3-9ae9-c71d55218937	Boxology
48	http://tool4boxology.org/Component/node_111762445405533	node_111762445405533	Component
49	http://tool4boxology.org/Component/node_121762445405533	node_121762445405533	Component
50	http://tool4boxology.org/Component/node_131762445405533	node_131762445405533	Component
51	http://tool4boxology.org/Component/node_151762445165352	node_151762445165352	Component
52	http://tool4boxology.org/Component/node_161762445165352	node_161762445165352	Component
53	http://tool4boxology.org/Component/node_161762953424807	node_161762953424807	Component
54	http://tool4boxology.org/Component/node_171762953424807	node_171762953424807	Component
55	http://tool4boxology.org/Component/node_1761577797210	node_1761577797210	Component
56	http://tool4boxology.org/Component/node_1761577839141	node_1761577839141	Component
57	http://tool4boxology.org/Component/node_1761577848218	node_1761577848218	Component
58	http://tool4boxology.org/Component/node_1761577932578	node_1761577932578	Component
59	http://tool4boxology.org/Component/node_1761577938926	node_1761577938926	Component
60	http://tool4boxology.org/Component/node_1761578018325	node_1761578018325	Component
61	http://tool4boxology.org/Component/node_1761578024234	node_1761578024234	Component
62	http://tool4boxology.org/Component/node_1761578295027	node_1761578295027	Component
63	http://tool4boxology.org/Component/node_1761578300915	node_1761578300915	Component
64	http://tool4boxology.org/Component/node_1761578523147	node_1761578523147	Component
65	http://tool4boxology.org/Component/node_1761578527556	node_1761578527556	Component
66	http://tool4boxology.org/Component/node_1761578688300	node_1761578688300	Component
67	http://tool4boxology.org/Component/node_1761578712780	node_1761578712780	Component
68	http://tool4boxology.org/Component/node_1761578740121	node_1761578740121	Component
69	http://tool4boxology.org/Component/node_1761578823589	node_1761578823589	Component
70	http://tool4boxology.org/Component/node_1761578891105	node_1761578891105	Component
71	http://tool4boxology.org/Component/node_1761578995769	node_1761578995769	Component
72	http://tool4boxology.org/Component/node_1761579893067	node_1761579893067	Component
73	http://tool4boxology.org/Component/node_1761643999207_n1	node_1761643999207_n1	Component
74	http://tool4boxology.org/Component/node_1761643999213_n2	node_1761643999213_n2	Component
75	http://tool4boxology.org/Component/node_1761643999214_n3	node_1761643999214_n3	Component
76	http://tool4boxology.org/Component/node_1761644012719_n2	node_1761644012719_n2	Component
77	http://tool4boxology.org/Component/node_1761644012720_n3	node_1761644012720_n3	Component
78	http://tool4boxology.org/Component/node_1761644028503_n2	node_1761644028503_n2	Component
79	http://tool4boxology.org/Component/node_1761644028505_n3	node_1761644028505_n3	Component
80	http://tool4boxology.org/Component/node_1761644034124_n2	node_1761644034124_n2	Component
81	http://tool4boxology.org/Component/node_1761644034125_n3	node_1761644034125_n3	Component
82	http://tool4boxology.org/Component/node_1761644526050	node_1761644526050	Component
83	http://tool4boxology.org/Component/node_1761644533452	node_1761644533452	Component
84	http://tool4boxology.org/Component/node_1761644760937	node_1761644760937	Component
85	http://tool4boxology.org/Component/node_1761644772461	node_1761644772461	Component
86	http://tool4boxology.org/Component/node_1761644799434_n3	node_1761644799434_n3	Component
87	http://tool4boxology.org/Component/node_1761644965182	node_1761644965182	Component
88	http://tool4boxology.org/Component/node_1761644974765	node_1761644974765	Component
89	http://tool4boxology.org/Component/node_1761646540551_n1	node_1761646540551_n1	Component
90	http://tool4boxology.org/Component/node_1761646540566_n2	node_1761646540566_n2	Component
91	http://tool4boxology.org/Component/node_1761646540568_n3	node_1761646540568_n3	Component
92	http://tool4boxology.org/Component/node_1761646552484_n2	node_1761646552484_n2	Component
93	http://tool4boxology.org/Component/node_1761646552486_n3	node_1761646552486_n3	Component
94	http://tool4boxology.org/Component/node_1761646573605_n2	node_1761646573605_n2	Component
95	http://tool4boxology.org/Component/node_1761646573606_n3	node_1761646573606_n3	Component
96	http://tool4boxology.org/Component/node_1761646756723	node_1761646756723	Component
97	http://tool4boxology.org/Component/node_1761646869919	node_1761646869919	Component
98	http://tool4boxology.org/Component/node_1761646896599_n1	node_1761646896599_n1	Component
99	http://tool4boxology.org/Component/node_1761646896600_n2	node_1761646896600_n2	Component
100	http://tool4boxology.org/Component/node_1761646896601_n3	node_1761646896601_n3	Component
101	http://tool4boxology.org/Component/node_1761646938176_n1	node_1761646938176_n1	Component
102	http://tool4boxology.org/Component/node_1761646938179_n3	node_1761646938179_n3	Component
103	http://tool4boxology.org/Component/node_1761646938180_n4	node_1761646938180_n4	Component
104	http://tool4boxology.org/Component/node_1761647053286	node_1761647053286	Component
105	http://tool4boxology.org/Component/node_1761650204185_n1	node_1761650204185_n1	Component
106	http://tool4boxology.org/Component/node_1761650204198_n2	node_1761650204198_n2	Component
107	http://tool4boxology.org/Component/node_1761650204200_n3	node_1761650204200_n3	Component
108	http://tool4boxology.org/Component/node_1761650214647_n2	node_1761650214647_n2	Component
109	http://tool4boxology.org/Component/node_1761650214648_n3	node_1761650214648_n3	Component
110	http://tool4boxology.org/Component/node_1761650445836_n1	node_1761650445836_n1	Component
111	http://tool4boxology.org/Component/node_1761650445839_n2	node_1761650445839_n2	Component
112	http://tool4boxology.org/Component/node_1761650445840_n3	node_1761650445840_n3	Component
113	http://tool4boxology.org/Component/node_1761650543075_n1	node_1761650543075_n1	Component
114	http://tool4boxology.org/Component/node_1761650543077_n3	node_1761650543077_n3	Component
115	http://tool4boxology.org/Component/node_1761660493060	node_1761660493060	Component
116	http://tool4boxology.org/Component/node_1761660493090	node_1761660493090	Component
117	http://tool4boxology.org/Component/node_1761660493093	node_1761660493093	Component
118	http://tool4boxology.org/Component/node_1761660504289	node_1761660504289	Component
119	http://tool4boxology.org/Component/node_1761660504292	node_1761660504292	Component
120	http://tool4boxology.org/Component/node_1761660535452	node_1761660535452	Component
121	http://tool4boxology.org/Component/node_1761660535453	node_1761660535453	Component
